21:02:14:03:00:59[INFO ] chunk_repair.pl-90    : ##ENTERING LOAD RULE FUNC
21:02:14:03:00:59[INFO ] load.pl-307   : Value--1  2 NP 3 1 4  5 (( 6 {%NN<cm="$a._A">}+{$b%NN<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">}))
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-,Pos-NN,Fs-<cm="$a._A">
21:02:14:03:00:59[INFO ] load.pl-335   : Add child
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-$b,Pos-NN,Fs-<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-389   : ###Number of Rules: 6,
21:02:14:03:00:59[INFO ] load.pl-447   : Dropping:NP~2
21:02:14:03:00:59[INFO ] load.pl-497   : RULE:,R7: VGNF(({$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">})) VGF(({%VM<root="uMdu",tam="A">}{%SYM})) => VGF((+{$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">}{%VAUX<root="uMdu",tam="A">}{%SYM}))
,
21:02:14:03:00:59[INFO ] load.pl-204   : LHS::VGNF(({$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">})) VGF(({%VM<root="uMdu",tam="A">}{%SYM})) ::
21:02:14:03:00:59[INFO ] load.pl-206   : Number of Chunks:VGNF(({$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">})) VGF(({%VM<root="uMdu",tam="A">}{%SYM}))
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--VGNF~
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$b,Pos-VM,Fs-<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--VGF~
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{%VM<root="uMdu",tam="A">}{%SYM})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{%VM<root="uMdu",tam="A">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-,Pos-VM,Fs-<root="uMdu",tam="A">
21:02:14:03:00:59[INFO ] load.pl-243   : word-{%SYM
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-,Pos-SYM,Fs-
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-283   : Parsing RHS
21:02:14:03:00:59[INFO ] load.pl-303   : RHS:Chunk_tag-VGF~
21:02:14:03:00:59[INFO ] load.pl-307   : Value--1  2 VGF 3  4  5 (( 6 +{$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">}{%VAUX<root="uMdu",tam="A">}{%SYM}))
21:02:14:03:00:59[INFO ] load.pl-335   : Add child
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-$b,Pos-VM,Fs-<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="i",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-,Pos-VAUX,Fs-<root="uMdu",tam="A">
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-,Pos-SYM,Fs-
21:02:14:03:00:59[INFO ] load.pl-389   : ###Number of Rules: 7,
21:02:14:03:00:59[INFO ] load.pl-447   : Dropping:VGNF~
21:02:14:03:00:59[INFO ] load.pl-497   : RULE:,R8: NP~1(({$q%NN<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="ti">})) NP~2(({$x%NN<root="$r",lcat="adj">})) NP~3(({$b%NN<root="$e",cat="n",gend="$t",num="$y",pers="$o",cm="$j",suff="$i">})) => NP~3((+{$q%NN<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="0">}+{$x%NN<root="$r",lcat="adj",cm="0",tam="0">}{$b%NN<root="$e",cat="n",gend="$t",num="$y",pers="$o",cm="$j",tam="$j">}))
,
21:02:14:03:00:59[INFO ] load.pl-204   : LHS::NP~1(({$q%NN<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="ti">})) NP~2(({$x%NN<root="$r",lcat="adj">})) NP~3(({$b%NN<root="$e",cat="n",gend="$t",num="$y",pers="$o",cm="$j",suff="$i">})) ::
21:02:14:03:00:59[INFO ] load.pl-206   : Number of Chunks:NP~1(({$q%NN<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="ti">})) NP~2(({$x%NN<root="$r",lcat="adj">})) NP~3(({$b%NN<root="$e",cat="n",gend="$t",num="$y",pers="$o",cm="$j",suff="$i">}))
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~1
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$q%NN<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="ti">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$q%NN<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="ti">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$q,Pos-NN,Fs-<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="ti">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~2
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$x%NN<root="$r",lcat="adj">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$x%NN<root="$r",lcat="adj">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$x,Pos-NN,Fs-<root="$r",lcat="adj">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~3
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$b%NN<root="$e",cat="n",gend="$t",num="$y",pers="$o",cm="$j",suff="$i">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$b%NN<root="$e",cat="n",gend="$t",num="$y",pers="$o",cm="$j",suff="$i">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$b,Pos-NN,Fs-<root="$e",cat="n",gend="$t",num="$y",pers="$o",cm="$j",suff="$i">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-283   : Parsing RHS
21:02:14:03:00:59[INFO ] load.pl-303   : RHS:Chunk_tag-NP~3
21:02:14:03:00:59[INFO ] load.pl-307   : Value--1  2 NP 3 3 4  5 (( 6 +{$q%NN<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="0">}+{$x%NN<root="$r",lcat="adj",cm="0",tam="0">}{$b%NN<root="$e",cat="n",gend="$t",num="$y",pers="$o",cm="$j",tam="$j">}))
21:02:14:03:00:59[INFO ] load.pl-335   : Add child
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-$q,Pos-NN,Fs-<root="$a",lcat="n",gend="$g",num="$n",pers="$p",cm="0">
